Old URL: ~/Default.aspx, New URL: ~/Default, File Found: False
Old URL: ~/Pages/accountclasslist.aspx, New URL: ~/aspxpages/accountclasslist.aspx, File Found: True
Old URL: ~/Pages/GLjrntyp.aspx, New URL: ~/aspxpages/GLjrntyp.aspx, File Found: True
Old URL: ~/Pages/GLclosacnt.aspx, New URL: ~/Pages/GLclosacnt, File Found: False
Old URL: ~/Pages/GlbandView.aspx, New URL: ~/Pages/GlbandView, File Found: False
Old URL: ~/Pages/GlFinanceperiod.aspx, New URL: ~/aspxpages/GlFinanceperiod.aspx, File Found: True
Old URL: ~/Pages/Qglmfbandviewtree.aspx, New URL: ~/Pages/Qglmfbandviewtree, File Found: False
Old URL: ~/Pages/BatchDaileypaymentitems.aspx, New URL: ~/aspxpages/BatchDaileypaymentitems.aspx, File Found: True
Old URL: ~/Pages/BankandCashManagement.aspx, New URL: ~/aspxpages/BankandCashManagement.aspx, File Found: True
Old URL: ~/Pages/GLacnBnk.aspx, New URL: ~/Pages/GLacnBnk, File Found: False
Old URL: ~/Pages/glacncshr.aspx, New URL: ~/Pages/glacncshr, File Found: False
Old URL: ~/Pages/schGLacnBnk.aspx, New URL: ~/aspxpages/schGLacnBnk.aspx, File Found: True
Old URL: ~/Pages/GLacnchr.aspx, New URL: ~/Pages/GLacnchr, File Found: False
Old URL: ~/Pages/ReciveDepositReview.aspx, New URL: ~/Pages/ReciveDepositReview, File Found: False
Old URL: ~/Pages/Reviewreciptgeneral.aspx, New URL: ~/Pages/Reviewreciptgeneral, File Found: False
Old URL: ~/Pages/Reviewpayment.aspx, New URL: ~/Pages/Reviewpayment, File Found: False
Old URL: ~/Pages/CasheerManagement.aspx, New URL: ~/aspxpages/CasheerManagement.aspx, File Found: True
Old URL: ~/Pages/ReciptVoucher1.aspx, New URL: ~/Pages/ReciptVoucher1, File Found: False
Old URL: ~/Pages/schglvchdlyhdreg.aspx, New URL: ~/aspxpages/schglvchdlyhdreg.aspx, File Found: True
Old URL: ~/Pages/ReciptVocher1.aspx, New URL: ~/aspxpages/ReciptVocher1.aspx, File Found: True
